regie_id,id,title,city_id,is_ticketing
22,100,"{""fr"":""SALLE DU THEATRE NATIONAL MESSALLA TETOAUN""}",12,0
1,101,"{""fr"":""Conservatoire National De Musique Et De Danse -Agdal""}",1,0
1,102,"{""fr"":""Conservatoire du musique Moulay Rachid""}",1,0
1,103,"{""fr"":""Conservatoire de musique et d'art chor\u00e9graphique Sal\u00e9""}",1,0
1,104,"{""fr"":""F.N.A.C""}",12,0
1,105,"{""fr"":""Salle de la maison de culture Skhirat""}",12,0
1,106,"{""fr"":""Salle de spectacles de la maison de culture Tamsna""}",12,0
1,107,"{""fr"":""Salle Haj Bahnini""}",1,0
1,108,"{""fr"":""Salle Mohamed Hajji""}",12,0
25,109,"{""fr"":""Conservatoire de Musique et d'arts chorigraphiques \u00e0 Errachidia""}",10,0
23,110,"{""fr"":""Salle du Centre Culturel Khair-Eddine""}",28,0
21,111,"{""fr"":""Conservatoire de musique et d'arts chor\u00e9graphiques de Taza""}",,0
21,112,"{""fr"":""Salle de th\u00e9\u00e2tre de Taza""}",12,0
20,113,"{""fr"":""Conservatoire National de Musique de Tanger""}",,0
18,114,"{""fr"":""Conservatoire de Musique de Safi""}",,0
16,115,"{""fr"":""Maison de Culture \u00e0 Ouarzazate""}",12,0
4,116,"{""fr"":""Conservatoire de Musique de Mekn\u00e8s""}",,0
9,117,"{""fr"":""Maison de culture d'Es-Smaraaaa""}",12,0
2,118,"{""fr"":""Conservatoire de Musique de Dchira \u00e0 Agadir""}",8,0
2,119,"{""fr"":""Conservatoire de Musique de Ait Melloul""}",8,0
33,120,"{""fr"":""Centre culture al wahda""}",23,0
33,121,"{""fr"":""Centre culture al walae""}",23,0
33,122,"{""fr"":""Conservatoire de musique et d'art chor\u00e9graphique \u00e0 dakhla""}",23,0
30,123,"{""fr"":""Conservatoire de musique et d'art chor\u00e9grahique de mhamid",,
12,124,"{""fr"":""Conservatoire de Musique de K\u00e9nitra""}",18,0
12,126,"{""fr"":""Conservatoire de musique \u00e0 sidi Kacem""}",24,0
22,128,"{""fr"":""Salle du complexe culturel ouazane""}",19,0
30,130,"{""fr"":""Maison culture el kelaa des sraghna""}",6,0
31,131,"{""fr"":""Conservatoire de musique et d'art chor\u00e9graphique Abdelouahab Agoumy""}",16,0
11,132,"{""fr"":""Conservatoire de Musique de F\u00e8s""}",29,0
