id,title,city_id,code,user_id
1,Rabat,1,2250-29-1014,440
10,Essaouira,5,1007811,161
11,Fès,29,1007411,193
12,Kénitra,18,977-33-1006,165
13,Khouribga,33,,223
14,Laayoun,27,1010311,191
15,Larache,7,1009311,170
16,Ouarzazate,31,1010211,203
17,Oujda,20,238-33-1013,172
18,Safi,25,1009911,1034
19,SETTAT,22,1009811,173
2,Agadir,8,2449291001,180
20,Tanger,3,123,117
21,Taza,26,1009411,190
22,Tétouan,19,1009611,19932
23,Tiznit,28,1010911,192
24,Volubilis,17,1007611,151
25,Errachidia,10,1017711,204
29,regieFinal,11,125487,144
3,BENI MELLAL OLD,,,
30,Marrakech,6,1007311,125
31,BENI MELLAL,16,1010411,142
33,regie dakhla oued eddahab,23,1018211,100
34,Regie Test,12,,104
35,Taroudant,40,577331001,229
36,Guelmim Oued-Noun,43,,7490
4,Meknès,4,1007511,189
5,Marrakech O,6,,
6,Casablanca,9,1009211,
7,Chefchaouen,11,1007711,164
8,Eljadida,30,1008111,194
9,Es-Smara,,1010111,100
