id,price,place_id,ticket_types_title_id
1000,0.00,24,20
1001,0.00,25,20
1002,0.00,26,20
1003,0.00,30,20
1004,0.00,31,20
1005,0.00,39,20
1006,0.00,38,20
1007,0.00,41,20
1008,0.00,28,20
1010,0.00,142,20
1011,0.00,43,20
1012,NULL,168,1
1013,NULL,168,2
1014,NULL,168,6
1015,NULL,168,7
1016,NULL,168,9
1018,0.00,162,21
1019,NULL,169,1
1020,NULL,169,2
1021,NULL,169,6
1022,NULL,169,7
1023,NULL,169,9
1024,NULL,170,1
1025,NULL,170,2
1026,NULL,170,6
1027,NULL,170,7
1028,NULL,170,9
1029,NULL,171,1
1030,NULL,171,2
1031,NULL,171,6
1032,NULL,171,7
1033,NULL,171,9
1034,NULL,172,1
1035,NULL,172,2
1036,NULL,172,6
1037,NULL,172,7
1038,NULL,172,9
1039,0.00,30,21
1040,0.00,22,21
1041,0.00,24,21
1042,0.00,25,21
1043,0.00,26,21
1044,0.00,28,21
1045,0.00,142,21
1046,0.00,31,21
1047,0.00,34,21
1048,0.00,38,21
1049,0.00,39,21
1050,0.00,41,21
1051,0.00,43,21
1052,0.00,95,21
1053,NULL,173,1
1054,NULL,173,2
1055,NULL,173,6
1056,NULL,173,7
1057,NULL,173,9
1058,NULL,174,1
1059,NULL,174,2
1060,NULL,174,6
1061,NULL,174,7
1062,NULL,174,9
1063,NULL,175,1
1064,NULL,175,2
1065,NULL,175,6
1066,NULL,175,7
1067,NULL,175,9
206,30.00,22,1
207,10.00,22,2
211,80.00,22,3
212,40.00,22,4
213,40.00,22,15
214,10.00,22,16
215,30.00,23,1
216,10.00,23,2
220,30.00,23,4
221,60.00,23,3
222,30.00,24,1
223,10.00,24,2
229,30.00,25,1
230,10.00,25,2
234,100.00,25,3
235,50.00,25,4
236,10.00,23,6
237,30.00,23,7
238,10.00,23,9
239,5.00,22,6
240,20.00,22,7
241,5.00,22,9
242,5.00,25,6
243,20.00,25,7
244,5.00,25,9
245,5.00,24,6
246,20.00,24,7
247,5.00,24,9
253,100.00,24,3
254,50.00,24,4
255,30.00,26,1
256,10.00,26,2
257,5.00,26,6
258,20.00,26,7
259,5.00,26,9
260,100.00,26,3
261,50.00,26,4
267,30.00,28,1
268,10.00,28,2
269,5.00,28,6
270,20.00,28,7
271,5.00,28,9
272,60.00,28,3
273,30.00,28,4
274,10.00,29,1
275,5.00,29,2
276,5.00,29,6
277,20.00,29,7
278,5.00,29,9
279,30.00,30,1
280,10.00,30,2
281,5.00,30,6
282,20.00,30,7
283,5.00,30,9
284,30.00,31,1
285,10.00,31,2
286,5.00,31,6
287,20.00,31,7
288,5.00,31,9
289,10.00,32,1
290,5.00,32,2
291,5.00,32,6
292,20.00,32,7
293,5.00,32,9
294,10.00,33,1
295,5.00,33,2
296,5.00,33,6
297,20.00,33,7
298,5.00,33,9
299,30.00,34,1
300,10.00,34,2
301,5.00,34,6
302,20.00,34,7
303,5.00,34,9
304,80.00,34,3
305,40.00,34,4
306,10.00,35,1
307,5.00,35,2
308,5.00,35,6
309,20.00,35,7
310,5.00,35,9
311,30.00,36,1
312,10.00,36,2
313,5.00,36,6
314,20.00,36,7
315,5.00,36,9
321,30.00,38,1
322,10.00,38,2
323,5.00,38,6
324,20.00,38,7
325,5.00,38,9
326,50.00,38,4
327,100.00,38,3
328,30.00,39,1
329,10.00,39,2
330,5.00,39,6
331,20.00,39,7
332,5.00,39,9
338,60.00,30,3
339,30.00,30,4
340,30.00,41,1
341,10.00,41,2
342,10.00,41,6
343,20.00,41,7
344,10.00,41,9
345,40.00,41,4
346,80.00,41,3
353,60.00,39,3
354,30.00,39,4
355,30.00,43,1
356,10.00,43,2
357,NULL,43,6
358,NULL,43,7
359,NULL,43,9
360,80.00,43,3
361,40.00,43,4
362,NULL,44,1
363,NULL,44,2
364,NULL,44,6
365,NULL,44,7
366,NULL,44,9
367,NULL,46,1
368,NULL,46,2
369,NULL,46,6
370,NULL,46,7
371,NULL,46,9
372,NULL,47,1
373,NULL,47,2
374,NULL,47,6
375,NULL,47,7
376,NULL,47,9
377,NULL,48,1
378,NULL,48,2
379,NULL,48,6
380,NULL,48,7
381,NULL,48,9
382,NULL,49,1
383,NULL,49,2
384,NULL,49,6
385,NULL,49,7
386,NULL,49,9
387,NULL,50,1
388,NULL,50,2
389,NULL,50,6
390,NULL,50,7
391,NULL,50,9
392,NULL,51,1
393,NULL,51,2
394,NULL,51,6
395,NULL,51,7
396,NULL,51,9
397,NULL,52,1
398,NULL,52,2
399,NULL,52,6
400,NULL,52,7
401,NULL,52,9
402,NULL,53,1
403,NULL,53,2
404,NULL,53,6
405,NULL,53,7
406,NULL,53,9
407,NULL,54,1
408,NULL,54,2
409,NULL,54,6
410,NULL,54,7
411,NULL,54,9
412,NULL,55,1
413,NULL,55,2
414,NULL,55,6
415,NULL,55,7
416,NULL,55,9
417,NULL,56,1
418,NULL,56,2
419,NULL,56,6
420,NULL,56,7
421,NULL,56,9
422,NULL,57,1
423,NULL,57,2
424,NULL,57,6
425,NULL,57,7
426,NULL,57,9
427,NULL,58,1
428,NULL,58,2
429,NULL,58,6
430,NULL,58,7
431,NULL,58,9
432,NULL,59,1
433,NULL,59,2
434,NULL,59,6
435,NULL,59,7
436,NULL,59,9
437,NULL,60,1
438,NULL,60,2
439,NULL,60,6
440,NULL,60,7
441,NULL,60,9
442,NULL,61,1
443,NULL,61,2
444,NULL,61,6
445,NULL,61,7
446,NULL,61,9
447,NULL,62,1
448,NULL,62,2
449,NULL,62,6
450,NULL,62,7
451,NULL,62,9
452,NULL,63,1
453,NULL,63,2
454,NULL,63,6
455,NULL,63,7
456,NULL,63,9
467,NULL,66,1
468,NULL,66,2
469,NULL,66,6
470,NULL,66,7
471,NULL,66,9
472,NULL,67,1
473,NULL,67,2
474,NULL,67,6
475,NULL,67,7
476,NULL,67,9
477,NULL,68,1
478,NULL,68,2
479,NULL,68,6
480,NULL,68,7
481,NULL,68,9
482,NULL,69,1
483,NULL,69,2
484,NULL,69,6
485,NULL,69,7
486,NULL,69,9
487,NULL,70,1
488,NULL,70,2
489,NULL,70,6
490,NULL,70,7
491,NULL,70,9
492,NULL,71,1
493,NULL,71,2
494,NULL,71,6
495,NULL,71,7
496,NULL,71,9
497,NULL,72,1
498,NULL,72,2
499,NULL,72,6
500,NULL,72,7
501,NULL,72,9
502,NULL,73,1
503,NULL,73,2
504,NULL,73,6
505,NULL,73,7
506,NULL,73,9
507,NULL,74,1
508,NULL,74,2
509,NULL,74,6
510,NULL,74,7
511,NULL,74,9
512,NULL,75,1
513,NULL,75,2
514,NULL,75,6
515,NULL,75,7
516,NULL,75,9
517,NULL,76,1
518,NULL,76,2
519,NULL,76,6
520,NULL,76,7
521,NULL,76,9
522,NULL,77,1
523,NULL,77,2
524,NULL,77,6
525,NULL,77,7
526,NULL,77,9
527,NULL,78,1
528,NULL,78,2
529,NULL,78,6
530,NULL,78,7
531,NULL,78,9
532,NULL,79,1
533,NULL,79,2
534,NULL,79,6
535,NULL,79,7
536,NULL,79,9
537,NULL,80,1
538,NULL,80,2
539,NULL,80,6
540,NULL,80,7
541,NULL,80,9
542,NULL,81,1
543,NULL,81,2
544,NULL,81,6
545,NULL,81,7
546,NULL,81,9
547,NULL,82,1
548,NULL,82,2
549,NULL,82,6
550,NULL,82,7
551,NULL,82,9
552,NULL,83,1
553,NULL,83,2
554,NULL,83,6
555,NULL,83,7
556,NULL,83,9
557,NULL,84,1
558,NULL,84,2
559,NULL,84,6
560,NULL,84,7
561,NULL,84,9
562,NULL,85,1
563,NULL,85,2
564,NULL,85,6
565,NULL,85,7
566,NULL,85,9
567,NULL,86,1
568,NULL,86,2
569,NULL,86,6
570,NULL,86,7
571,NULL,86,9
572,NULL,87,1
573,NULL,87,2
574,NULL,87,6
575,NULL,87,7
576,NULL,87,9
577,NULL,88,1
578,NULL,88,2
579,NULL,88,6
580,NULL,88,7
581,NULL,88,9
582,NULL,89,1
583,NULL,89,2
