id,title_fr,title_ar,min,is_group,is_foreigner
1,Adulte Marocain ou Résident,???? ????? ?? ????,1,0,0
15,Groupe d'étudiants ou élèves étrangers,NULL,1,0,1
16,Groupe d'étudiants ou d'élèves marocains,NULL,1,0,0
17,TEST_OFFLINE,NULL,1,0,0
18,TEST_ONLINE,NULL,1,0,0
19,TEST 2 ONLINE,NULL,NULL,0,0
2,Enfant Marocain ou Résident entre 7 et 13,??? ????? ?? ???? ???  7 ? 13 ???,1,0,0
20,GRATUIT - Adulte Marocain ou Résident,NULL,1,0,0
21,Pass Jeunes,NULL,1,0,0
3,Adulte Étranger,????? ????,1,0,1
4,Enfant Étranger entre 7 et 13,??? ????? ??? 7 ? 13 ???,1,0,1
6,Groupe d'étudiants/élèves Resident,?????? ?? ?????? / ???????? ????????,5,1,0
7,Groupe d'étudiants/élèves Etranger,?????? ?? ?????? / ???????? ???????,5,1,1
8,Agences de voyages/Clubs adultes etrangers,?????? ?????/ ????? ?????? ????????,5000,1,0
9,Association à but non lucratif,????? ??? ????? ?????,20,1,0
